state_abb,D0,D1,D2,D3,D4
FL,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
DC,4.31,0.25,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
AK,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
AK,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
DC,13.09,2.51,0.0,0.0,0.0
AZ,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
CO,65.28,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
DC,5.22,13.82,23.42,17.81,6.05
LA,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
AR,26.98,19.34,6.73,1.6,0.0
OH,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
MD,0.0,0.0,0.0,0.0,0.0
CT,29.05,40.31,23.48,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
MI,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
NC,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
CO,17.8,76.47,5.73,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0
CO,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
RI,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0
FL,0.0,0.0,0.0,0.0,0.0
KS,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
ND,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
NJ,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
CT,23.12,13.79,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
CO,2.93,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
MO,0.0,0.0,0.0,0.0,0.0
NY,0.0,0.0,0.0,0.0,0.0
PR,0.0,0.0,0.0,0.0,0.0
CT,0.0,0.0,0.0,0.0,0.0
NE,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
MN,0.0,0.0,0.0,0.0,0.0
SC,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,0.0,0.0
IN,0.0,0.0,0.0,0.0,0.0
